n,E(z) mean,E(z) median,E(z) half_sum_of_extremal_elements,E(z) half_sum_of_quartiles,E(z) trimmed_mean,D(z) mean,D(z) median,D(z) half_sum_of_extremal_elements,D(z) half_sum_of_quartiles,D(z) trimmed_mean
10,-0.005450301998366381,-0.006939155179617992,-0.005411736097427272,-0.00790072917177836,-0.015610171344950196,0.10411001229769841,0.24020648505831085,0.04401602364824869,0.14429132456610771,0.17223436664263983
100,-0.0019148221702692961,-0.006312444508224736,-0.0013493717801390988,0.001959851528921921,-0.004766376652958518,0.01001923651169352,0.02972287056844843,0.0005989506359279786,0.014275950244727009,0.018934643468312848
1000,0.00046994205897328935,0.00092439752245222,-0.00013336321731959388,-0.00035507879536579107,-0.00038676271179597066,0.001013715877286275,0.0031267359362308184,5.4035831536570125e-06,0.0014688446651009094,0.0018865479277253795
