n,E(z) mean,E(z) median,E(z) half_sum_of_extremal_elements,E(z) half_sum_of_quartiles,E(z) trimmed_mean,D(z) mean,D(z) median,D(z) half_sum_of_extremal_elements,D(z) half_sum_of_quartiles,D(z) trimmed_mean
10,-0.01746616410796178,-0.01928287459224208,-0.01949429658730645,-0.014486323703904343,-0.007936579327262534,0.10087860828003936,0.14270655552242603,0.18777533599302804,0.11543734101112266,0.1608357277121601
100,-0.004989911180023459,-0.006254691440026689,0.008703346146580727,-0.005343185981074191,-0.007892901738001147,0.009941149680397549,0.01553544062387155,0.09558550406787814,0.012391724990961186,0.020005258298724935
1000,3.785759434680058e-05,-0.0017794327768713614,-0.0029709766193344437,0.0010019137055254398,-8.465179644116416e-05,0.0009846799788652346,0.0016816040881968428,0.061384838164323434,0.0012432774717741509,0.001938790904850732
