n,E(z) mean,E(z) median,E(z) half_sum_of_extremal_elements,E(z) half_sum_of_quartiles,E(z) trimmed_mean,D(z) mean,D(z) median,D(z) half_sum_of_extremal_elements,D(z) half_sum_of_quartiles,D(z) trimmed_mean
10,-4.724164571243905,-0.01598565658636999,-23.612109413543656,-0.0151761183813727,-8.31063132220859,11477.749748744665,0.33708051132491496,286469.54141779937,1.163577369806967,31698.450395710897
100,0.7817334235564244,0.012224996391425675,37.029997370323926,0.008636937932011346,0.85730378020491,431.9000442915405,0.025323114647256367,1060046.375319799,0.05500800030891925,167.70786049462603
1000,-0.33613446716714623,-0.001531800558590004,-129.05747713848433,-0.0015403448977067634,-0.04971499725409521,240.55398778423543,0.0023102219062660157,50362265.31318059,0.004735133483656631,174.2611043803534
