n,E(z) mean,E(z) median,E(z) half_sum_of_extremal_elements,E(z) half_sum_of_quartiles,E(z) trimmed_mean,D(z) mean,D(z) median,D(z) half_sum_of_extremal_elements,D(z) half_sum_of_quartiles,D(z) trimmed_mean
10,0.016265036418722217,0.004666973177594372,0.04092481066268584,0.014314650788808215,0.00075042036525321,0.2591257471596372,0.18383184135869826,1.6593193347266293,0.1845643989378093,0.43191190016954883
100,-0.002158052670277696,-0.0013893807917487906,0.02123762269013227,0.0035924412780813297,-0.016753336175470555,0.026906836576971755,0.01905096452436443,9.893950798332225,0.018477796891219676,0.05278173266048773
1000,0.0003345321988195756,-0.00023781905804621972,-0.05481802240131225,0.00016184962906449452,0.0006788711289721615,0.0028982468957328873,0.0019027938839361529,32.52788759577143,0.0019440178451682246,0.0056556748650244395
